id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,id_player,GK,S,M,D,F
1509_14-15_seriea,Davide Santon,9,716,0,0.14768074825406075,0,1.0361666260287166,8,11,0,0,D S,Inter,0,0.14768074825406075,3.538975989446044,3.219206102192402,1509,0,1,0,1,0
1510_14-15_seriea,Gary Medel,35,3001,0,0.6027815118432045,2,1.1525849187746644,26,27,10,1,M S,Inter,0,0.6027815118432045,13.47449513245374,12.187827914953232,1510,0,1,1,0,0
1519_14-15_seriea,Juan Pablo Carrizo,1,90,0,0.0,0,0.0,0,0,0,0,GK,Inter,0,0.0,0.6594592928886414,0.6594592928886414,1519,1,0,0,0,0
1523_14-15_seriea,Danilo D&#039;Ambrosio,23,1691,0,0.8074309546500444,2,1.8835112042725088,14,20,8,0,D S,Inter,0,0.8074309546500444,5.9646708779037,4.82982317171991,1523,0,1,0,1,0
1525_14-15_seriea,Assane Demoya Gnoukouri,5,166,0,0.0,0,0.0,0,0,1,0,M S,Inter,0,0.0,0.1796700432896614,0.1796700432896614,1525,0,1,1,0,0
1527_14-15_seriea,Emanuele Terranova,9,755,0,0.10351818054914473,0,0.0,2,0,0,0,D,Sassuolo,0,0.10351818054914473,1.1901009418070316,1.1901009418070316,1527,0,0,0,1,0
1530_14-15_seriea,Andrea Coda,2,59,0,0.0,0,0.030674418434500694,0,1,1,0,S,Sampdoria,0,0.0,0.030674418434500694,0.0,1530,0,1,0,0,0
1532_14-15_seriea,Emiliano Viviano,29,2541,0,0.0,0,0.10163949243724346,0,3,3,0,GK,Sampdoria,0,0.0,3.711063644848764,3.609424143098295,1532,1,0,0,0,0
1533_14-15_seriea,Dodô,20,1377,0,0.8643332459032536,2,0.9358819294720888,10,19,3,0,D M S,Inter,0,0.8643332459032536,4.4131988948211065,3.146704609505832,1533,0,1,1,1,0
1535_14-15_seriea,Accursio Bentivegna,3,5,0,0.06440020352602005,0,0.0,1,0,0,0,S,Palermo,0,0.06440020352602005,0.10859622061252594,0.10859622061252594,1535,0,1,0,0,0
1541_14-15_seriea,Stefan de Vrij,30,2537,0,1.0027809767052531,0,0.31160639971494675,11,8,3,1,D S,Lazio,0,1.0027809767052531,7.060536039993168,6.361963581293821,1541,0,1,0,1,0
1542_14-15_seriea,Stefan Radu,24,2116,0,0.4424473186954856,2,1.5222364915534854,8,13,7,0,D,Lazio,0,0.4424473186954856,7.3554606679826975,5.800632856786251,1542,0,0,0,1,0
1546_14-15_seriea,Federico Mattiello,5,155,0,0.1618424504995346,0,0.036197260022163384,4,1,0,0,D S,"Chievo,Juventus",0,0.1618424504995346,0.4039674028754234,0.25759217143058777,1546,0,1,0,1,0
1547_14-15_seriea,Pablo Armero,8,587,0,0.08527737110853195,1,0.9378654174506664,1,8,1,1,D S,AC Milan,0,0.08527737110853195,1.5519311204552648,0.7131659761071205,1547,0,1,0,1,0
1550_14-15_seriea,Luca Ceppitelli,25,1971,0,2.3372652241960172,0,0.016753114759922028,15,1,7,0,D S,Cagliari,0,2.3372652241960172,2.3070801384747033,2.290327023714781,1550,0,1,0,1,0
1557_14-15_seriea,Carlos Carmona,33,2813,0,0.7952743107452989,0,0.8465123008936644,20,20,12,1,F M S,Atalanta,0,0.7952743107452989,5.928865808062255,5.04460328258574,1557,0,1,1,0,1
1558_14-15_seriea,Davide Bassi,7,630,0,0.0,0,0.0,0,0,0,0,GK,Empoli,0,0.0,0.5617906209081411,0.5617906209081411,1558,1,0,0,0,0
1572_14-15_seriea,Bostjan Cesar,28,2442,0,1.5958519019186497,0,0.034853601828217506,12,2,8,0,D S,Chievo,0,1.5958519019186497,1.8838409706950188,1.7134134145453572,1572,0,1,0,1,0
1573_14-15_seriea,Riccardo Montolivo,10,718,0,0.2921821428462863,0,0.9909287057816982,9,13,1,0,M S,AC Milan,0,0.2921821428462863,2.534647788852453,1.7012129817157984,1573,0,1,1,0,0
1574_14-15_seriea,Davide Calabria,1,5,0,0.0,0,0.2566325068473816,0,1,0,0,S,AC Milan,0,0.0,0.2566325068473816,0.2566325068473816,1574,0,1,0,0,0
1576_14-15_seriea,Giorgio Chiellini,28,2447,0,1.3960519470274448,1,0.8428824041038752,20,12,7,0,D S,Juventus,0,1.3960519470274448,8.653539441525936,8.382515527307987,1576,0,1,0,1,0
1587_14-15_seriea,Kwadwo Asamoah,7,622,0,0.1592638771981001,0,0.5141870789229871,6,11,2,0,D,Juventus,0,0.1592638771981001,1.918294332921505,1.5082114525139332,1587,0,0,0,1,0
1588_14-15_seriea,Raúl Albiol,35,3097,0,0.7459117770195007,1,1.1096955435350535,10,10,10,0,D S,Napoli,0,0.7459117770195007,8.309353113174437,8.162802554666996,1588,0,1,0,1,0
1597_14-15_seriea,Cristian Molinaro,24,1367,0,0.4041134603321552,1,1.6633597193285825,10,15,1,1,D S,Torino,0,0.4041134603321552,4.0018195286393174,2.460452031344176,1597,0,1,0,1,0
1600_14-15_seriea,Jonathan Biabiany,1,74,0,0.028857257217168808,0,0.0,1,0,0,0,F,Parma,0,0.028857257217168808,0.028857257217168808,0.0,1600,0,0,0,0,1
1608_14-15_seriea,Salvador Ichazo,1,90,0,0.0,0,0.0,0,0,0,0,GK,Torino,0,0.0,0.08809300512075424,0.08809300512075424,1608,1,0,0,0,0
1609_14-15_seriea,Antonio Mirante,33,2924,0,0.0,0,0.020266041159629825,0,1,4,1,GK,Parma,0,0.0,2.202929592691362,2.182663551531732,1609,1,0,0,0,0
1610_14-15_seriea,Nicolò Cherubin,13,1011,0,0.5177969895303249,0,0.02688717097043991,3,1,0,0,D S,Atalanta,0,0.5177969895303249,0.7094004433602095,0.6825132723897696,1610,0,1,0,1,0
1618_14-15_seriea,Diego López,28,2513,0,0.0,0,0.0,0,0,2,1,GK,AC Milan,0,0.0,3.1665791906416416,3.1665791906416416,1618,1,0,0,0,0
1625_14-15_seriea,Walter Bressan,1,90,0,0.0,0,0.0,0,0,0,0,GK,Cesena,0,0.0,0.0154819218441844,0.0154819218441844,1625,1,0,0,0,0
1632_14-15_seriea,Francesco Renzetti,23,1908,0,0.013117137365043163,1,2.030550294555724,1,21,3,0,D M S,Cesena,0,0.013117137365043163,3.9407677622511983,3.815004893578589,1632,0,1,1,1,0
1639_14-15_seriea,Sebastiano Luperto,1,5,0,0.0,0,0.0,0,0,0,0,S,Napoli,0,0.0,0.1191590279340744,0.1191590279340744,1639,0,1,0,0,0
1722_14-15_seriea,Juan Zuñiga,7,521,0,0.3993785278871656,2,1.0246729776263237,5,6,0,0,D M S,Napoli,0,0.3993785278871656,2.3500622138381004,1.2778991274535656,1722,0,1,1,1,0
1792_14-15_seriea,Mário Rui,34,2591,0,0.6352748265489936,4,2.838716040365398,26,26,9,0,D S,Empoli,0,0.6352748265489936,7.461614845320582,6.828256046399474,1792,0,1,0,1,0
1797_14-15_seriea,Lorenzo Ariaudo,2,180,0,0.0,0,0.09152425825595856,0,1,1,0,D,Sassuolo,0,0.0,0.32032060623168945,0.2287963479757309,1797,0,0,0,1,0
1801_14-15_seriea,Pontus Jansson,9,626,0,0.5954051017761229,0,0.0,1,0,1,1,D S,Torino,0,0.5954051017761229,1.2978092692792416,1.2978092692792416,1801,0,1,0,1,0
1807_14-15_seriea,Modibo Diakité,9,717,0,0.09640647564083338,0,0.0,3,0,1,1,D S,Cagliari,0,0.09640647564083338,1.1724942326545715,1.1289883106946943,1807,0,1,0,1,0
1808_14-15_seriea,Nenad Krsticic,12,266,0,0.3379871025681496,0,0.11196886096149684,5,5,0,0,M S,Sampdoria,0,0.3379871025681496,1.1751431478187442,0.7876501800492406,1808,0,1,1,0,0
1809_14-15_seriea,Joaquín Correa,6,183,0,0.1925826370716095,0,0.20636968314647675,6,5,0,0,M S,Sampdoria,0,0.1925826370716095,0.5665389038622379,0.36076781153678894,1809,0,1,1,0,0
1813_14-15_seriea,Mattia Cassani,18,1139,0,0.19424992706626654,0,1.2166715674102306,6,8,1,0,D S,Parma,0,0.19424992706626654,2.271399337798357,1.4019100442528725,1813,0,1,0,1,0
1821_14-15_seriea,Christian Abbiati,11,905,0,0.0,0,0.0,0,0,0,0,GK S,AC Milan,0,0.0,0.7898724917322397,0.7898724917322397,1821,1,1,0,0,0
1825_14-15_seriea,Morgan De Sanctis,35,3150,0,0.0,1,0.015930095687508583,0,1,1,0,GK,Roma,0,0.0,2.0716190794482827,2.0556889856234197,1825,1,0,0,0,0
1827_14-15_seriea,Alessandro Longhi,19,1453,0,0.4432290373370051,1,0.8619979079812765,6,7,2,0,D M S,Sassuolo,0,0.4432290373370051,2.9332583248615265,1.9616248216480017,1827,0,1,1,1,0
1835_14-15_seriea,Enzo Maresca,19,1187,0,1.450415558181703,0,0.19233042560517788,11,11,2,0,M S,Palermo,0,1.450415558181703,5.746542510576546,5.039143074303865,1835,0,1,1,0,0
1841_14-15_seriea,Pierluigi Gollini,3,270,0,0.0,0,0.0,0,0,0,0,GK,Verona,0,0.0,0.120265306904912,0.120265306904912,1841,1,0,0,0,0
